TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
SUBMARINE,SUBMARINE,APPROVED,"THIS WAS THE FIRST MAJOR SUBMARINE MOVIE. REALLY ABOUT A NAVY DIVER WHO ULTIMATELY DIVES ON SUBMARINE SUNK IN AN ACCIDENT. DESPITE IMAGES OF ACCIDENT, SUFFOCATING SAILORS, AND AN UNFAITHFUL NAVY WIFE, THE NAVY PROVIDED A SUBMARINE, EQUIPMENT, AND NAVY MEN AND DIVERS.",,,,,,TRUE,1928,11/12/1928,"Jack Holt, Dorothy Revier, Ralph Graves, Clarence Burton",,FALSE,USA,"Frank Capra, Irvin Willat","Action, Drama","Two sailors who are always competing against each other set their sights on the same girl. When she chooses one over the other, their friendship ends acrimoniously. However, things change when one the men is in a submarine trapped beneath the ocean and the other, a diver, is sent down on a rescue mission.",https://m.media-amazon.com/images/M/MV5BZmU0OGIyNzQtNTRmMi00N2Y2LWEzNjgtZWYzZmMxM2M4ZWQxXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg,APPROVED,,93,Submarine,,,7.7,tt0019434,173
AIRPORT '77,AIRPORT '77,APPROVED,NAVY PROVIDED FULL COOPERATION IN THE FORM OF A SEARCH AND RESCUE UNIT AND UNDERWATER RESCUE VEHICLES FOR A TYPICAL DISASTER MOVIE ABOUT THE CRASH OF A PRIVATE 747 CARRYING PRICELESS ART TREASURES. THE SERVICE FELT THE FILM HIGHLIGHTED ITS UNDERWATER RESCUE CAPABILITIES.,,,,,,TRUE,1977,3/11/1977,"Jack Lemmon, Lee Grant, Brenda Vaccaro, Joseph Cotten",,FALSE,USA,Jerry Jameson,"Action, Drama, Thriller",Mr. Phillip Stevens is flying in a load of VIPs to the grand opening of his art collection when a trio of hijackers knock out the passengers with gas and try to steal the priceless cargo of art treasures. But everything goes wrong for the hijackers when the 747 crashes in the Bermuda triangle. While the passengers remain alive in the shallow water a daring rescue operation is planned to bring the plane up without breaking it in two.,https://m.media-amazon.com/images/M/MV5BMzM4OWM1N2UtZTRkZi00NjA4LThiOGUtNDA4ZDc2OTI1YjBkXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,PG,,114,Airport '77,,36,5.8,tt0075648,"9,462"
EXECUTIVE DECISION,EXECUTIVE DECISION,APPROVED,"APPROVED REQUEST TO USE NAVY SHIPS, AIRCRAFT, PLUS ARMY HELICOPTER AND INSTALLATION. FOLLOWING BRIEF PERIOD OF SCRIPT NEGOTIATIONS (CONSIDERING THAT WE HAD GONE THROUGH THIS BEFORE WITH PREVIOUS INCARNATION OF PROJECT), GAVE APPROVAL. MILITARY DEPICTIONS REASONABLY ACCURATE AND POSITIVE. PRIMARILY AN ARMY PRODUCTION.",,,,,,TRUE,1996,3/15/1996,"Kurt Russell, Steven Seagal, Halle Berry, John Leguizamo",2 wins & 2 nominations.,TRUE,USA,Stuart Baird,"Action, Adventure, Thriller","Terrorists take over a 747 bound from Athens to Washington D.C., supposedly to effect the release of their leader. Intelligence expert David Grant suspects another reason and convinces the military that the 'plane should not be allowed to enter U.S. airspace. An assault mission is devised, using a specially equipped 'plane designed for mid-air crew transfers, and Grant finds himself aboard the 747 with a team of military anti-terrorists who have to defuse a bomb and overpower the terrorists.",https://m.media-amazon.com/images/M/MV5BMjgwNzA4MjQtMTQwOC00OWY0LTkwOGYtNWQxYTQ3ZmEzZjY5L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,R,,133,Executive Decision,65%,62,6.4,tt0116253,"49,956"
TORPEDO RUN,TORPEDO RUN,APPROVED,DULL WORLD WAR II SUBMARINE STORY WHICH RECEIVED THE USUAL SUBMARINE FROM THE NAVY. BASED LOOSELY ON TRUE STORY IN WHICH A SUB CAPTAIN SINKS A JAPANESE FREIGHTER (WHILE TRYING TO HIT AN AIRCRAFT CARRIER] ON WHICH HIS FAMILY WAS SAILING TO POW CAMP,,,,,,TRUE,1958,1/11/1959,"Glenn Ford, Ernest Borgnine, Diane Brewster, Dean Jones",,FALSE,USA,Joseph Pevney,"Drama, War",The commander of an American submarine during World War II sets out to destroy the Japanese Aircraft carrier which launched the attack on Pearl Harbour. His wife and child have been captured by the Japanese and they are using them and other prisoners of war as human shields for the carrier.,https://m.media-amazon.com/images/M/MV5BZDVhNjQ3NzYtMWE0Zi00MWJlLTkzYjItODFkNDlhMTM5ZDVjXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,Vietnam War,98,Torpedo Run,48%,,6.4,tt0052303,"1,832"
JET PILOT,JET PILOT,APPROVED,"HOWARD HUGHES MADE FILM IN 1950 WITH ASSISTANCE FROM AIR FORCE. HOWEVER, HE DID NOT RELEASE IT FOR SEVEN YEARS. CHUCK YEAGER DID SOME OF FLYING SEQUENCES WHILE-STILL IN AIR FORCE. JOHN WAYNE AS AMERICAN PILOT FALLS IN LOVE WITH RUSSIAN WOMEN JET ACE.",,,,,,TRUE,1957,10/1/1957,"John Wayne, Janet Leigh, Jay C. Flippen, Paul Fix",,FALSE,USA,Josef von Sternberg,"Action, Drama, Romance, Thriller, War","Air Force Colonel Shannon is assigned to escort defecting Soviet pilot Anna. He falls in love with her, but she is scheming to lure him back to the USSR. But Shannon has a scheme of his own.",https://m.media-amazon.com/images/M/MV5BY2NlOWY3ZjEtMTQ4YS00Njk2LTk5YjYtMTY5MDRkNTgzNTQ5XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Approved,Vietnam War,113,Jet Pilot,60%,,5.7,tt0050562,"2,117"
THREE WISHES,THREE WISHES,APPROVED,"COMPANY REQUESTED USE OF FORT MACARTHUR (USAF) IN LA AREA TO DRESS AS ANDREWS AFB HOSPITAL AS BACKGROUND FOR SCENE IN WHICH SON OF MIA AIR FORCE OFFICER IS BEING TREATED. MILITARY DEPICTION ACCURATE AND POSITIVE, THOUGH FILM HAS LITTLE TO DO WITH MILITARY.",,,,,,TRUE,1995,10/27/1995,"Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello, Seth Mumy",1 nomination.,TRUE,USA,Martha Coolidge,"Drama, Fantasy","When Jane Holman is driving with her two sons, Tom and Gunny, she accidentally runs into a drifter, named Jack McCloud, who breaks his leg. Feeling sorry for him, Jane invites Jack and his dog Betty Jane to stay at her home until his leg has healed. After having some difficulties to adapt to this new lifestyle, Jack soon finds himself loved by the family and they all want him to stay. When he starts teaching baseball to Tom, who misses his father who's missing in the Korean War, the two of them develop a strong bond. Meanwhile Gunny believes that there's more to Jack and Betty Jane than meets the eye, and he's determined to find out!",https://m.media-amazon.com/images/M/MV5BYTkxYTNjZDUtYWFhYi00NjQ4LWE2YjMtYmU2YjMyZjQwODkxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG,,115,Three Wishes,13%,,6.1,tt0114663,"2,551"
HEAVEN KNOWS MR ALLISON,HEAVEN KNOWS MR ALLISON,APPROVED,THE MARINES PROVIDED A SMALL LANDING FORCE AS BACKGROUND FOR RESCUE OF A MARINE AND A NUN FROM A SOUTH PACIFIC ISLAND DURING WORLD WAR II. REAL PROBLEM CAME FROM PRODUCTION CODE OFFICE WHICH WAS CONCERNED THAT THE STORY MIGHT TAKE AN ANTI-CATHOLIC APPROACH.,,,,,,TRUE,1957,3/13/1957,"Deborah Kerr, Robert Mitchum",Nominated for 2 Oscars. Another 1 win & 5 nominations.,TRUE,USA,John Huston,"Adventure, Drama, War","In 1944, the castaway Corporal Allison drifts in a raft to Tuasiva Island, where he meets Sister Angela. She tells him that she is the only person on the island, having been left behind when seeking out a priest. The nun and the marine are stranded, but the island offers a bountiful supply of food. However, their paradisiacal life ends when the Japanese arrive to build a base, forcing ""Mr."" Allison and the nun to hide in a cave. The marine's expertise in such conditions proves to be vital to their survival, and the two grow ever closer.",https://m.media-amazon.com/images/M/MV5BZjRmYTIwMGYtZWZmYy00MjY5LTkzOTgtMGQwMDdhMTdhMjEwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,Vietnam War,107,"Heaven Knows, Mr. Allison",88%,,7.3,tt0050490,"7,641"
CAPTAIN AMERICA,CAPTAIN AMERICA,DENIED,"THE REQUEST FOR STOCK FOOTAGE WAS DENIED BY THE- DOD, AS WELL AS, THE DEPARTMENT OF THE ARMY. THE AMOUNT OF MILITARY PRESENCE IN THE FILM WAS EITHER FANCIFUL OR DAMAGING SUGGESTED COMMERCIAL ASSISTANCE. NEVER RELEASED THEATRICAL IN US. APPARENTLY A VERY TERRIBLE FILM",,,,,,TRUE,1990,12/14/1990,"Matt Salinger, Ronny Cox, Ned Beatty, Darren McGavin",,FALSE,"USA, Yugoslavia",Albert Pyun,"Action, Adventure, Sci-Fi, War","During World War II, a brave, patriotic American Soldier undergoes experiments to become a new supersoldier, ""Captain America."" Racing to Germany to sabotage the rockets of Nazi baddie ""Red Skull"", Captain America winds up frozen until the 1990s. He reawakens to find that the Red Skull has changed identities and is now planning to kidnap the President of the United States.",https://m.media-amazon.com/images/M/MV5BZDkxMjg3MzAtMmFjYS00YzUyLWFhYTQtZmFlMzFhZDhjNDI5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg,PG-13,Gulf War,97,Captain America,7%,,3.2,tt0103923,"11,107"
TAPS,TAPS,APPROVED,"APPROVED ASSISTANCE AFTER RESOLVING SEVERAL INACCURACIES IN THE FILM, AND AN EARLIER TURN DOWN BY THE DOD. REVISED SCRIPT ENDED UP WITH A FILM THAT WAS SUPPORTED BY THE DEPARTMENT AND THE NGB. POSITIVE IMPRESSION FOR THE NGB. PROVIDED GOOD IMPRESSION FOR THE MOVIEGOERS.",,,,,,TRUE,1981,12/25/1981,"George C. Scott, Timothy Hutton, Ronny Cox, Sean Penn",,FALSE,USA,Harold Becker,Drama,"An announcement that the venerable Bunker Hill Military Academy, a 141 year old institute, is to be torn down and replaced with condos sets off the young cadets led by their stodgy commander. Under the command of a student cadet major, the cadets seize the campus, refuse entry of the construction crews and ultimately confront the real military.",https://m.media-amazon.com/images/M/MV5BNjJmOGJkZDEtNzAwZC00YmFjLTliZGYtZDQ5MzEzOWNiMDkxXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,PG,,126,Taps,68%,49,6.8,tt0083169,"16,351"
"TUSKEGEE AIRMEN, THE",THE TUSKEGEE AIRMEN,APPROVED,"THE FILM WAS APPROVED BY THE AIR FORCE, ARMY, AND THE DEPARTMENT OF DEFENSE IN NOVEMBER, 1984 AFTER MUCH SCRIPT NEGOTIATIONS. FINAL DRAFT, PROVED TO BE HISTORICALLY ACCURATE. PROJECT EXISTED FOR MANY, MANY YEARS AND THIS EFFORT WAS NOT SUCCESSFUL (THIS PRODUCER, THIS PROJECT).",,,,,,TRUE,1995,8/26/1995,"Laurence Fishburne, Allen Payne, Malcolm-Jamal Warner, Courtney B. Vance",Nominated for 1 Golden Globe. Another 6 wins & 15 nominations.,TRUE,USA,Robert Markowitz,"Drama, History, War","During the Second World War, a special project is begun by the US Army Air Corps to integrate African American pilots into the Fighter Pilot Program. Known as the ""Tuskegee Airman"" for the name of the airbase at which they were trained, these men were forced to constantly endure harassement, prejudice, and much behind the scenes politics until at last they were able to prove themselves in combat.",https://m.media-amazon.com/images/M/MV5BMDYyYTdhZjktZmZjZi00YzU2LWExZDktZDQ4ZTdmNjUzZWUxL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,PG-13,,106,The Tuskegee Airmen,88%,,7.1,tt0114745,"5,561"
GRAY LADY DOWN,GRAY LADY DOWN,APPROVED,"THE NAVY PROVIDED SUPPORT OF THE FILM AFTER MANY CHANGES AND SEVERAL PRODUCTIONS INCLUDING FRANK ROSENBERG, WILLIAM ALDRICH, AND BING CROSBY PRODUCTIONS. FILM HAS ALL THE PROBLEMS OF EVERY NAVY SUBMARINE DISASTER MOVIE. LOSING AN ATOMIC SUBMARINE DOES LITTLE TO HELP THE SERVICE'S IMAGE.",,,,,,TRUE,1978,4/1/1978,"Charlton Heston, David Carradine, Stacy Keach, Ned Beatty",,FALSE,USA,David Greene,"Adventure, Drama, History, Thriller","The USS Neptune, a nuclear submarine, is sunk off the coast of Connecticut after a collision with a Norwegian cargo ship. The navy must attempt a potentially dangerous rescue in the hope of saving the lives of the crew.",https://m.media-amazon.com/images/M/MV5BM2JhYzMyOGYtOTJmNS00MmJiLWIxZTAtM2M2OGViNDkzOTc1L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,PG,,111,Gray Lady Down,63%,,6.2,tt0077629,"2,719"
BEACH RED,BEACH RED,DENIED,"MARINES LIKED SCRIPT AND PROVIDED COMBAT FOOTAGE WHICH CORNEL WILDE RESTORED. HOWEVER, THE CORPS THEN CONCLUDED THE FILM WOULD MAKE AN ANTI-WAR STATEMENT AT A TIME WHEN VIETNAM WAS ESCALATING AND DECLINED TO PROVIDE ACTUAL ASSISTANCE. INSTEAD, THE PRODUCTION COMPANY USED THE PHILIPPINE ARMY.",,,,,,TRUE,1967,11/18/1967,"Cornel Wilde, Rip Torn, Burr DeBenning, Patrick Wolfe",Nominated for 1 Oscar. Another 1 nomination.,TRUE,USA,Cornel Wilde,"Drama, War","American Marines storm ashore on a Japanese-held island and push inland while their enemy plans a counterattack, in this look at warfare. Fighting men on both sides are haunted by memories of home and the horrifying, sickening images they experience in combat.",https://m.media-amazon.com/images/M/MV5BZmYwODdmZDQtYmNhMC00ZWIwLTk2NWQtMTQwOTJkYzk4ZDg5XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Approved,Vietnam War,105,Beach Red,38%,,6.3,tt0061389,"1,185"
PLATOON,PLATOON,DENIED,"DENIED COOPERATION BECAUSE OF ITS UNREALISTIC VIEWS OF THE AMERICAN SOLDIER. TOTALLY UNBALANCED. ARMY SAID SCRIPT CONTAINED ""UNREALISTIC AND HIGHLY UNFAVORABLE DEPICTION OF THE AMERICAN SOLDIER, IMPLYING THAT ALL THE EVENTS DEPICTED OCCURRED ON EVERY COMBAT PATROL."" WON OSCAR FOR BEST PICTURE AND DIRECTOR.",,,,,,TRUE,1986,2/6/1987,"Keith David, Forest Whitaker, Francesco Quinn, Kevin Dillon",Won 4 Oscars. Another 20 wins & 15 nominations.,TRUE,"USA, UK",Oliver Stone,"Drama, War","Chris Taylor is a young, naive American who gives up college and volunteers for combat in Vietnam. Upon arrival, he quickly discovers that his presence is quite nonessential, and is considered insignificant to the other soldiers, as he has not fought for as long as the rest of them and felt the effects of combat. Chris has two non-commissioned officers, the ill-tempered and indestructible Staff Sergeant Robert Barnes and the more pleasant and cooperative Sergeant Elias Grodin. A line is drawn between the two NCOs and a number of men in the platoon when an illegal killing occurs during a village raid. As the war continues, Chris himself draws towards psychological meltdown. And as he struggles for survival, he soon realizes he is fighting two battles, the conflict with the enemy and the conflict between the men within his platoon.",https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,,120,Platoon,88%,92,8.1,tt0091763,"374,868"
"DAY AFTER TOMORROW, THE",THE DAY AFTER TOMORROW,APPROVED,"ESSENTIALLY A NATURAL-DISASTER SCI FI PICTURE WITH LITTLE MILITARY PORTRAYAL ASIDE FROM DISASTER RELIEF, ETC. APPROVED PARTICIPATION OF ARMY NATIONAL GUARD ROTARY WING, VEHICLES, MILITARY POLICE (WITH DOGS), EXTRAS, ETC, FILMING NEAR FORT BLISS, III. OTHER ROTARY WING FILMING TOOK PLACE NEAR MONTREAL, CANADA.",,,,,,TRUE,2004,5/28/2004,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",Won 1 BAFTA Film Award. Another 5 wins & 12 nominations.,TRUE,USA,Roland Emmerich,"Action, Adventure, Sci-Fi, Thriller","As Paleoclimatologist named Jack Hall is in Antartica, he discovers that a huge ice sheet has sheared off. But what he does not know is that this event will trigger a massive climate shift that will affect the world population. Meanwhile, his son Sam is with friends in New York to attend an event. There they discover that it has been raining non-stop for the past 3 days, and after a series of weather-related disasters begin to occur over the world, everybody realizes the world is entering a new Ice Age and the world population begins trying to evacuate to the warmer climates of the south. Jack makes a daring attempt to rescue his son and his friends who are stuck in New York and who have managed to survive not only a massive wave but also freezing cold temperatures that could possibly kill them.",https://m.media-amazon.com/images/M/MV5BMTM3NDU4NDA2Ml5BMl5BanBnXkFtZTYwNzcxNjY2._V1_SX300.jpg,PG-13,Iraq War,124,The Day After Tomorrow,44%,47,6.4,tt0319262,"410,486"
HAMBURGER HILL,HAMBURGER HILL,APPROVED,"ARMY FOUND THE FILM TO BE HISTORICALLY ACCURATE AND MOVING. PRESENTED A MORE REALISTIC VIEW OF THE STRUGGLES OF COMBAT SOLDIERS IN VIETNAM, AS OPPOSED TO OTHER VIETNAM FILMS. ONE OF VERY FEW COMBAT FILMS SET IN VIETNAM TO RECEIVE FULL COOPERATION IN THIS PERIOD.",,,,,,TRUE,1987,8/28/1987,"Anthony Barrile, Michael Boatman, Don Cheadle, Michael Dolan",,FALSE,USA,John Irvin,"Action, Drama, Thriller, War","A brutal and realistic war film focuses on the lives of a squad of 14 U.S. Army soldiers of B Company, 3rd Battalion, 187th Infanty Regiment, 101st Airborne Division during the brutal 10 day (May 11-20, 1969) battle for Hill 937 in the A Shau Valley of Vietnam as they try again and again to take the fortified hill held by the North Vietnamese, and the faults and casualties they take every time in which the battle was later dubbed ""Hamburger Hill"" because enemy fire was so fierce that the fusillade of bullets turned assaulting troops into shreded hamburger meat.",https://m.media-amazon.com/images/M/MV5BZWQ3NWI5NDYtMGNiZS00MTNhLTk4ODItNWM2NTcyNjFiMTljL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,R,,110,Hamburger Hill,100%,64,6.7,tt0093137,"23,440"
"DEER HUNTER, THE",THE DEER HUNTER,APPROVED,"PRODUCERS DID NOT APPROACH DOD FOR HELP. OHIO FILM BUREAU DID REQUEST USE OF AIR NATIONAL GUARD PLANES WHICH GAVE DOD A CHANCE TO CRITIQUE SCRIPT. FOUND FULL OF ERRORS. NO RUSSIAN ROULETTE, ETC. PRODUCERS HAD SOUGHT USE OF AIR NATIONAL GUARD AT YOUNGSTOWN AIRPORT",,,,,,TRUE,1978,2/23/1979,"Robert De Niro, John Cazale, John Savage, Christopher Walken",Won 5 Oscars. Another 19 wins & 27 nominations.,TRUE,USA,Michael Cimino,"Drama, War","Michael, Steven and Nick are young factory workers from Pennsylvania who enlist into the Army to fight in Vietnam. Before they go, Steven marries the pregnant Angela, and their wedding party also serves as the men's farewell party. After some time and many horrors, the three friends fall in the hands of the Vietcong and are brought to a prison camp in which they are forced to play Russian roulette against each other. Michael makes it possible for them to escape, but they soon get separated again.",https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,R,,183,The Deer Hunter,93%,86,8.1,tt0077416,"306,436"
AMERICA,AMERICA,APPROVED,"FILM WAS D.W. GRIFFITH'S ATTEMPT TO DO FOR THE AMERICAN REVOLUTION WHAT BIRTH OF A NATION DID FOR THE CIVIL WAR AND RECONSTRUCTION. ARMY PROVIDED A CAVALRY UNIT, MEN, AND SUPPORT EQUIPMENT ON THEORY THAT ITS OFFICERS COULD STUDY TACTICS USED TO FIGHT THE REVOLUTION.",,,,,,TRUE,1924,2/21/1924,"Neil Hamilton, Erville Alderson, Carol Dempster, Charles Emmett Mack",,FALSE,USA,D.W. Griffith,"Drama, History, War","The first half of the film portrays the struggle of the under-armed, under-manned colonists against the British Redcoats at Lexington, Bunker Hill and Valley Forge. Other landmarks of the American Revolution shown include the Boston Tea Party, Paul Revere's midnight ride and Patrick Henry's (played by Frank McGlyyn Jr. and not played by his father Frank McGlynn Sr) inflammatory speeches to the VIrginia House of Burgesses. The second half dwells on the bloody Indian War of Mohawk Valley. THe parts are tied together by the troubled romance between a young patriot, Nathan Holden (Neal Hamilton)and Nancy Montague (Carol Dempster), the daughter of a Tory Judge.",https://m.media-amazon.com/images/M/MV5BMjE3NjMyNTM0N15BMl5BanBnXkFtZTgwNDU0NDAwMjE@._V1_SX300.jpg,PASSED,,141,America,63%,,6.6,tt0014672,274
FINAL ANALYSIS,FINAL ANALYSIS,LIMITED,THE UNITED STATES ARMY APPROVED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AT THE PRESIDIO IN SAN FRANCISCO. THE ARMY AND DOD FELT THIS ASSISTANCE WOULD BE A POSITIVE COMMUNITY THE ARMY PROVIDED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AS A COMMUNITY RELATIONS INITIATIVE,,,,,,TRUE,1992,2/7/1992,"Richard Gere, Kim Basinger, Uma Thurman, Eric Roberts",1 win & 4 nominations.,TRUE,USA,Phil Joanou,"Drama, Thriller","A psychiatrist (Gere) has an affair with his patient's sister (Basinger) who is married to a Greek mobster (Roberts). The mobster is a tyrant over his wife. The psychiatrist wants her to get a divorce, but she is afraid of what her husband would do. She has a medical condition that becomes apparent when she drinks. One night she drinks anyway and attacks her husband. The psychiatrist uses his professional pull to try and help her out of the consequences of her actions, but becomes uncertain if she is telling him the truth.",https://m.media-amazon.com/images/M/MV5BN2ZhMGQ3MTEtYmRkMy00YmE0LWFlMjUtN2VmMjhhNWQwY2U3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,R,,124,Final Analysis,54%,,5.9,tt0104265,"13,022"
FROM HERE TO ETERNITY,FROM HERE TO ETERNITY,APPROVED,"ARMY DESPERATELY DID NOT WANT TO COOPERATE ON PRODUCTION. HOWEVER, COLUMBIA ENTERED INTO A LONG SERIES OF NEGOTIATIONS. ULTIMATELY, FILMMAKERS SOFTENED PORTRAYALS OF BRUTALITY IN STOCKADE AND HAD A REPELLENT OFFICER FACE DISCIPLINARY ACTION. IN TURN, ARMY ALLOWED FILMMAKERS FULL ACCESS TO SCHOFIELD BARRACKS, HI.",,,,,,TRUE,1953,8/28/1953,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed",Won 8 Oscars. Another 15 wins & 7 nominations.,TRUE,USA,Fred Zinnemann,"Drama, Romance, War","It's 1941. Robert E. Lee Prewitt has requested Army transfer and has ended up at Schofield in Hawaii. His new captain, Dana Holmes, has heard of his boxing prowess and is keen to get him to represent the company. However, 'Prew' is adamant that he doesn't box anymore, so Captain Holmes gets his subordinates to make his life a living hell. Meanwhile Sergeant Warden starts seeing the captain's wife, who has a history of seeking external relief from a troubled marriage. Prew's friend Maggio has a few altercations with the sadistic stockade Sergeant 'Fatso' Judson, and Prew begins falling in love with social club employee Lorene. Unbeknownst to anyone, the Japanese bombing of Pearl Harbor looms in the distance.",https://m.media-amazon.com/images/M/MV5BM2U3YzkxNGMtYWE0YS00ODk0LTk1ZGEtNjk3ZTE0MTk4MzJjXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,Passed,,118,From Here to Eternity,92%,85,7.6,tt0045793,"42,415"
CRASH DIVE (1943),CRASH DIVE (1943),APPROVED,"FIRST MAJOR SUBMARINE MOVIE OF WORLD WAR II. PURE FANTASY WITH AMERICAN SUBMARINE ON COMBAT CRUISE IN ATLANTIC, SINKS GERMAN SHIPS AND DESTROYS A MYTHICAL NAZI SUBMARINE SUPPLY BASE ON AN ISLAND IN THE NORTH ATLANTIC. NAVY PROVIDED FULL COOPERATION AT THE NEW LONDON SUBMARINE BASE.",,,,,,TRUE,1943,4/28/1943,"Tyrone Power, Anne Baxter, Dana Andrews, James Gleason",,FALSE,USA,Archie Mayo,"Action, Adventure, Drama, Romance, Thriller, War","Against his personal preference, PT boat commander Ward Stewart is made executive officer of the submarine USS Corsair. On leave before sailing, he meets schoolteacher Jean Hewlett and gives her a romantic rush...unaware that she's the sweetheart of Dewey Connors, his new commander. At sea, the men bond while fighting German Q-ships. When will they discover their mutual romantic rivalry? Will it interfere with a spectacular commando raid on a secret German base?",https://m.media-amazon.com/images/M/MV5BYWZkZWQ1NzItYjRkNS00MmU4LWE3OGEtZmExMDMyZjA5NDk0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Approved,,106,Crash Dive,51%,,6.3,tt0035763,"1,356"
MATINEE,MATINEE,APPROVED,"AUTHORIZED FILMING WITH FLORIDA NATIONAL GUARD TO SET UP A HAWK MISSILE BATTERY (ACTUALLY DONE DURING THE CUBAN MISSILE CRISIS), AUTHORIZED FILMING NAVY HELICOPTER FLYING OVERHEAD, AUTHORIZED FILMING AT NAVAL AIR STATIONKEY WEST. POSITIVE DEPICTION OF NAVY FAMILY, THOUGH NOT MUCH OF A MILITARY PRESENCE OTHERWISE",,,,,,TRUE,1993,1/29/1993,"John Goodman, Cathy Moriarty, Simon Fenton, Omri Katz",1 win.,TRUE,USA,Joe Dante,"Comedy, Drama","A showman introduces a small coastal town to a unique movie experience and capitalises on the Cuban Missile crisis hysteria with a kitschy horror extravaganza combining film effects, stage props and actors in rubber suits in this salute to the B-movie.",https://m.media-amazon.com/images/M/MV5BOGVjZmQ0YmQtNzBhMi00M2QzLTk2YzUtMjBhNzQ3ZmUwZGVkL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,,99,Matinee,92%,,6.9,tt0107529,"9,346"
MACARTHUR,MACARTHUR,APPROVED,"APPROVED USE OF FILMING ON MILITARY INSTALLATIONS, INCLUDING WEST POINT. VERY POOR PORTRAYAL OF THE GENERAL, IN LARGE PART BECAUSE GREGORY PECK REFUSED TO PLAY CHARACTER WITH WARTS. DESPITE LONG CORRESPONDENCE, ONLY VERY LIMITED COOPERATION EXCEPT AT WEST POINT. DOCUMENTS IN GEORGETOWN UNIVERSITY LIBRARY SUID COLLECTION.",,,,,,TRUE,1977,7/15/1977,"Gregory Peck, Ivan Bonar, Ward Costello, Nicolas Coster",,FALSE,USA,Joseph Sargent,"Biography, Drama, History, War","The story of General of the Army Douglas MacArthur, Supreme Allied Commander during World War II and United Nations Commander for the Korean War. ""MacArthur"" begins in 1942, following the fall of Phillipines, and covers the remarkable career of this military legend up through and including the Korean War and into MacArthur's days of forced retirement after being dismissed from his post by President Truman.",https://m.media-amazon.com/images/M/MV5BNTRjMjYzNDEtMjNmNy00NzJiLWE0NDgtZDk1N2IzYjgzYTMwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,PG,,130,MacArthur,50%,,6.6,tt0076342,"4,248"
