Title,Subtitle,Status,Year,Remarks,Interesting?
DEVIL'S PLAYGROUND,,APPROVED,1937,"THIS WAS A REMAKE OF FRANK CAPRA'S ""SUBMARINE."" ALTHOUGH THE NAVY HAD PROVIDED FULL COOPERATION TO THE ORIGINAL FILM, THE MODEL FOR ALL FUTURE SUBMARINE DISASTER MOVIES, THE SERVICE MANIFESTED GREAT RELUCTANCE TO BECOME INVOLVED WITH THIS REMAKE, SOUND VERSION. NEITHER FILM WAS REALLY ANY GOOD FOR NAVY WITH THEIR IMAGES OF A SUNKEN SUBMARINE, A NAVY UNFAITHFUL WIFE, AND A DIVER WHO REFUSES AT FIRST ASSIGNMENT TO HELP RESCUE SUB BECAUSE HIS BEST FRIEND, WHO UNWITTINGLY SLEPT WITH HIS WIFE, IS ABOARD. ULTIMATELY, IN BOTH FILMS, THE CUCKOLDED DIVER DOES DIVE DOWN TO THE STRICKEN SUB TO CARRY AIR HOSE TO SUB. AFTER MUCH NEGOTIATIONS AND SOME SCRIPT REVISIONS, THE NAVY PROVIDED ASSISTANCE. SEE ""GUTS & GLORY, REVISED EDITION"", FOR FULL STORY",Y
DIE HARD 2,,DENIED,1990,"THE FILM MET NONE OF THE DEPARTMENTS CRITERIA FOR APPROVAL, SUCH AS HISTORICAL AUTHENTICITY, ACCURACY OF FEASIBILITY, BENEFITS TO UNDERSTANDING OF THE MILITARY, RECRUITING VALUE, ETC.",Y
DINOSAUR,,LIMITED,,THE DEPARTMENT OF DEFENSE APPROVED AND PROVIDED AN INFORMAL TOUR OF THE PENTAGON TO BE USED AS BACKGROUND IN THE FILM. NO RECORD OF FILM BEING MADE,
DIRIGIBLE,,APPROVED,1931,"CLASSIC PEACETIME NAVY BUDDY FILM. WHILE STORY FOCUSED ON DIRIGIBLES, THE NAVY ALSO PROVIDED PLENTY OF AIRPLANES, MEN, SHIPS AS BACKGROUND, AND LOCATIONS. STORY IS A FANTASY OF A DIRIGIBLE RACING TO THE ANTARCTIC TO RESCUE A DOWNED EXPEDITION TRYING TO REACH THE SOUTH POLE. MISSION SUCCEEDS AND NAVY AVIATORS BECOME HEROES.",
DIRTY DOZEN,,OTHER,1967,CLASSIC RENDERING OF MISFIT (IN THIS CASE RAPISTS AND MURDERS) SOLDIERS BEING MOLDED INTO A CRACK RAIDER UNIT INTENDED TO KILL GERMAN OFFICERS TO DISRUPT D-DAY COUNTER-ATTACK. FILM MADE IN ENGLAND AND DIRECTOR SAID THE STUDIO SAW NO NEED TO REQUEST ASSISTANCE.,Y
DISTANT THUNDER,,DENIED,,"FILM WAS DENIED BECAUSE SCENES OF THE FILM WERE OBJECTIONABLE. TOO FICTIONAL. ABOUT A VIETNAM VETERAN WHO LIVES ALONE IN THE WILDERNESS. AS OF JAN 2000, THE FILM HAS YET TO BE PRODUCED.",
DIVE BOMBER,,APPROVED,1941,"NAVY PREPAREDNESS FILM WHICH RECEIVED FULL COOPERATION. STORY OF HOW NAVY AVIATION MEDICAL DOCTORS TRIED TO SOLVE THE PROBLEM OF PILOT BLACKOUT DURING HIGH SPEED DIVES. MADE IN FULL COLOR. SOME PEOPLE OBJECTED TO THE DEATH OF SOME PILOTS AS BAD IMAGE MAKING, BUT NAVY ARGUED FILM SHOWED HOW SERVICE WAS TRYING TO SOLVE THE PROBLEM AND IF FILM ONLY SHOWED POSITIVE SIDE, IT WOULD BE LABELED PROPAGANDA.",Y
"DON'T CRY, IT'S ONLY THUNDER",,LIMITED,1982,"BASED ON A TRUE STORY OF SOLDIER IN VIETNAM WHO FOUND WAYS TO GIVE AID TO A CATHOLIC ORPHANAGE IN SAIGON — REPLACED HIS BEST FRIEND WHO WAS KILLED BY A VIETCONG WOMAN WHO DROPPED A GRENADE INTO A HELICOPTER. ARMY PROVIDED LIMITED ASSISTANCE IN THE PHILIPPINES IN THE FORM OF HELICOPTER, MEN AND EQUIPMENT MADE FOR THEATRICAL RELEASE, BUT MAY NOT HAVE MADE IT THAT FAR. HAS APPEARED ON CABLE TV",
DON'T GIVE UP THE SHIP,,LIMITED,1959,JERRY LEWIS LOSES A BATTLESHIP AND CAN'T REMEMBER WHERE HE PUT IT. ONE OF HIS BEST COMEDIES. NAVY PROVIDED A FEW SCENES OF SHIPS AS BACKGROUND,Y
DON'T GO NEAR THE WATER,,APPROVED,1957,NAVY COMEDY IN SOUTH SEAS WORLD WAR II SETTING. SAILORS BUILDING A RECREATION HALL ON ISLAND-NAVY PROVIDED FULL COOPERATION (MOSTLY SAILORS AND SHIPS IN BACKGROUND).,
DONDI,,OTHER,1961,ARMY PROVIDED COURTESY ASSISTANCE TO STORY OF WAR ORPHAN ADOPTED BY SOLDIERS AND BROUGHT TO THE UNITED STATES,
DONOVAN'S REEF,,OTHER,1963,THE NAVY PROVIDED COURTESY ASSISTANCE ONLY TO JOHN WAYNE/JOHN FORD COMEDY SET ON PACIFIC ISLAND,Y
DOWN PERISCOPE,,DENIED,1996,"INFORMALLY PROVIDED SCRIPT FOR COMMENT & FEEDBACK. ADVISED LINE PRODUCER THAT SUPPORT WAS HOPELESS, GIVEN NEGATIVISM AND INACCURACIES AND THE FACT THAT THE FILM WAS BEING RUSHED INTO PRODUCTION, SO THE COMPANY WAS UNABLE TO MAKE HUGE CHANGES. DOD APPROVED OF THE NAVY WORKING WITH THE MARITIME ADMINISTRATION TO USE A MOTHBALLED SUBMARINE, WHICH WAS TOWED IN FRONT OF THE CAMERAS.",
DRESS PARADE,,APPROVED,1927,"TYPICAL WEST POINT MOVIE, MADE WITH FULL COOPERATION OF ARMY AND THE MILITARY ACADEMY. FILMMAKERS SHOT ALL LOCATION SCENES AT WEST POINT",
EAGLE IN THE SKY,,DENIED,,"THE FILM WAS DENIED BY THE US. NAVY AND DOD, AS COMPLETELY UNREALISTIC — REQUESTOR HAD WANTED USE OF AIRCRAFT FOR FILM IT DEPICTED OF THE NAVY. THE DEPARTMENT DECLINED TO ASSIST. NO RECORD OF FILM BEING MADE",
EAGLE STRIKE,,DENIED,,THE FILM DID NOT MEET DOD CRITERIA. THE DEPARTMENT DID NOT WANT TO COMPETE WITH THE INDUSTRIES THAT MADE THEM COMMERCIALLY AVAILABLE. NO RECORD FILM WAS EVER MADE,
"EASY COME, EASY GO",,APPROVED,1967,ELVIS PRESLEY COMEDY FOR WHICH THE NAVY PROVIDED LIMITED ASSISTANCE--PRESLEY PLAYS A FROGMAN,
EIGHT IRON MAN,,OTHER,1952,WORLD WAR II MOVIE WITH LESS THAN FAVORABLE IMAGES OF AMERICAN FIGHTING MEN. PRODUCERS DID NOT REQUEST COOPERATION.,
EIGHTY-FOUR CHARLIE MOPIC,,OTHER,1989,FILM ABOUT ARMY COMBAT CAMERAMEN WHO GO INTO FIELD TO FILM A SPECIAL RECON MISSION. NO REQUEST FOR HELP SINCE FILMED IN SOUTHEAST ASIA.,
EMPIRE OF THE SUN,,LIMITED,1987,THE NAVY AND DOD APPROVED FOR PERSONNEL TO BE USED AS EXTRAS VOLUNTARILY. THERE WAS ALSO A HOLD HARMLESS AGREEMENT INDUSTRY INSURANCE WAS CARRIED. THE REQUEST FOR A NAVY AIRCRAFT WAS DROPPED.,
ENEMY BELOW,,APPROVED,1957,FULL COOPERATION AT PEARL HARBOR FROM NAVY. PORTRAYS DUEL BETWEEN AN AMERICAN DESTROYER AND GERMAN SUBMARINE. GERMAN AND AMERICAN ARE BROTHERS IN ARMS WITH NO MENTION OF NATURE OF REGIME FOR WHICH THE GERMAN IS FIGHTING.,
ENSIGN PULVER,,DENIED,1964,"NAVY REFUSED ASSISTANCE TO SEQUEL OF ""MR. ROBERTS"" WHICH HAD RECEIVED ASSISTANCE ONLY BECAUSE JOHN FORD WAS DIRECTING",
ERNEST SAVES CHRISTMAS,,APPROVED,1988,"APPROVED THE REQUEST FOR AIR FORCE STOCK FOOTAGE OF PLANES, UNIFORMS, AND PERSONNEL, SINCE THE FILM PORTRAYED THE FORCE IN A POSITIVE MANNER.",
ETERNAL SEA,,APPROVED,1955,"TRUE STORY OF ADMIRAL HOSKINS, NAVY FLIER WHO LOSES LEG ON PRINCETON THE DAY HE IS SUPPOSED TO TAKE COMMAND. USES NAVY REGS TO REMAIN ON ACTIVE DUTY. LATER BECAME FIRST NAVY PILOT TO FLY A JET FIGHTER OFF CARRIER DECK, FULL COOPERATION",
EVERYBODY LOVES WHALES,BIG MIRACLE,APPROVED,2012,"Initially requested the use of a BRAC base (Kulis Air Base) — efforts failed clue to facilities requested were put into emergency use by base officials. We did provide use of a Sky Crane relic which was dressed to appear as a functional aircraft, and numerous other hangars and AKANG personnel as extras.",
EXECUTIVE DECISION,,APPROVED,1996,"APPROVED REQUEST TO USE NAVY SHIPS, AIRCRAFT, PLUS ARMY HELICOPTER AND INSTALLATION. FOLLOWING BRIEF PERIOD OF SCRIPT NEGOTIATIONS (CONSIDERING THAT WE HAD GONE THROUGH THIS BEFORE WITH PREVIOUS INCARNATION OF PROJECT), GAVE APPROVAL. MILITARY DEPICTIONS REASONABLY ACCURATE AND POSITIVE. PRIMARILY AN ARMY PRODUCTION.",
EXTRAORDINARY SEAMAN,,LIMITED,1969,MISGUIDED WORLD WAR II COMEDY. SOME COMBAT FOOTAGE AND SHOTS OF SHIPS,Y (NICE)
FACE OF WAR,,APPROVED,1968,MARINE CORPS DOCUMENTARY ABOUT WORLD WAR II COMBAT,
FAT MAN & LITTLE BOY,,DENIED,1989,"THE FILM WAS DENIED FOR APPROVAL BECAUSE IT PROVIDED AN INACCURATE PORTRAYAL OF THE ARMY. THIS WAS A ""MESSAGE"" FILM AGAINST THE ATOMIC BOMB. COMPLETE FICTION. IT BENEFITED THE ARMY AND THE DEPARTMENT IN NO WAY WHATSOEVER",Y
FATHER GOOSE,,LIMITED,1965,LIMITED NAVY ASSISTANCE ON STORY ABOUT AN AMERICAN WHO BECOMES A COAST WATCHER ON A SOUTH PACIFIC ISLAND,
FIELD OF FIRE,,DENIED,1992,"MR WEBB REQUESTED HELICOPTERS, EXTRAS FOR FILMING IN VIETNAM. AS A FALL-BACK MEASURE, IF THE POLITICAL SITUATION PRECLUDED FILMING WITH US ASSETS IN VIETNAM, HE REQUESTED MARINES ON LEAVE TO FILM IN VIETNAM. NUMEROUS NEGATIVE MILITARY PORTRAYALS. MARINES ASKED FOR RECONSIDERATION ON 12-JAN-1994. NO FURTHER ACTION TAKEN. PROJECT IN LIMBO UNTIL 1999 WHEN WEBB REVISED SCRIPT AND RESUBMITTED IT TO SAAV. STILL NO OFFICIAL ACTION. AS OF 01 JAN 2000, DOD IS STILL WAITING FOR THE PRODUCTION TO GET OFF THE GROUND.",
FIGHTER ATTACK,,LIMITED,1953,PILOT SHOT DOWN OVER ITALY DURING WORLD WAR II. RELATIONSHIP DEVELOPS WITH RESISTANCE. SOME COMBAT FOOTAGE,
FIGHTER SQUADRON,,APPROVED,1948,FIRST POST-WAR COMBAT FILM. PORTRAYED P-51 FIGHTERS IN SUMMER OF 1944. FIRST MOVIE TO USE COLORED COMBAT FOOTAGE. FIRST FILM OF ROCK HUDSON. SHOT WITH HELP OF WISCONSIN AIR NATIONAL GUARD. STILL CONSIDERED AN EXCITING FILM.,Y
FIGHTING SEABEES,,APPROVED,1944,"NAVY PROVIDED FULL SUPPORT FOR STORY OF NAVY COMBAT ENGINEERS IN PACIFIC. ALLOWED FILMMAKERS TO SHOOT A SEABEE TRAINING EXERCISE AT CAMP PENDLETON INCLUDING THE BUILDING OF AN AIRFIELD, WHICH WAS THEN CUT INTO FILM.",
FINAL ANALYSIS,,LIMITED,1992,THE UNITED STATES ARMY APPROVED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AT THE PRESIDIO IN SAN FRANCISCO. THE ARMY AND DOD FELT THIS ASSISTANCE WOULD BE A POSITIVE COMMUNITY THE ARMY PROVIDED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AS A COMMUNITY RELATIONS INITIATIVE,
"FINAL COUNTDOWN, THE",AKA THE LAST COUNTDOWN,APPROVED,1980,"APPROVED BY DOD. NAVY AND MARINE ALSO APPROVED USE OF EQUIPMENT AND INSTALLATIONS. THE USS NIMITZ BECOMES START OF TRITE SCIENCE FICTION MOVIE IN WHICH CARRIER RETURNS TO DECEMBER 6, 1941. WILL IT STOP PEARL HARBOR.",
FIRE BIRDS,"FORMERLY 'WINGS OF APACHE""",APPROVED,1990,"THE AIR FORCE AND THE ARMY SUPPORTED THE MAKING OF THE FILM. ON THE OTHER HAND, THE REQUEST FOR AN APACHE TO BE USED A STATIC DISPLAY IN TOKYO WAS DENIED.",
FIREFOX,,APPROVED,1982,FIRST CONTACT WITH THE AIR FORCE,
FIRST BLOOD,,DENIED,1982,DECLINED TO ASSIST BECAUSE MILITARY PORTRAYALS WERE TOTALLY NEGATIVE AND INACCURATE.,Y
FIRST TO FIGHT,,APPROVED,1967,"CONVENTIONAL WORLD WAR II MARINE STORY WHICH RECEIVED FULL COOPERATION, MEN, AND EQUIPMENT.",
FIXED BAYONETS,,LIMITED,1951,KOREAN WAR STORY THAT COULD HAVE AS EASILY BEEN SET IN WORLD WAR II. ARMY PROVIDED LIMITED ASSISTANCE FOR STORY FILMED MOSTLY IN THE STUDIO,
FLAT TOP,,APPROVED,1952,MADE WITH FULL COOPERATION OF NAVY. DERIVATIVE OF EARLIER AIRCRAFT CARRIER MOVIES. USED MOSTLY COMBAT FOOTAGE TO CREATE STORY,
"FLEET'S IN, THE",,APPROVED,1942,PEACETIME NAVY MUSICAL RELEASED AFTER WAR BEGAN. FULL COOPERATION IN FORM OF MEN AND SHIPS AS BACKGROUND TO STORY.,
FLIGHT,,APPROVED,1929,MARINES GAVE FULL COOPERATION ON FILM ABOUT THE MARINE EXPEDITIONARY FORCE IN NICARAGUA. SQUADRON OF FIGHTERS GIVES CLOSE AIR SUPPORT TO MARINES ON THE GROUND. SHOWS HOW MARINE AIR AND GROUND FORCES WORK TOGETHER--IMAGE AND REALITY CARRIED FORWARD INTO WWII,
FLIGHT COMMAND,,APPROVED,1940,NAVY FILM ABOUT DEVELOPMENT OF NAVIGATIONAL AIDS FOR BAD-WEATHER FLYING. FULL COOPERATION AT MIRAMAR AIR STATION. ONE OF SEVERAL PRE-WAR PREPAREDNESS FILMS THAT HOLLYWOOD TURNED OUT FOR ALL THE SERVICES.,
FLIGHT DECK,,APPROVED,1988,"APPROVED, BUT CAN'T TELL IF EVER ACTUALLY PRODUCED",
FLIGHT FROM ASHIYA,,LIMITED,1962,"MOVIE ABOUT AIR FORCE RESCUE ATTEMPT, PROVIDED LIMITED EQUIPMENT AND MEN AS BACKGROUND",
FLIGHT LIEUTENANT,,LIMITED,1942,ARMY AIR CORPS PREPAREDNESS FILM. USE OF PLANES AND MEN AS BACKGROUND.,
FLIGHT NURSE,,APPROVED,1953,TRITE ROMANTIC STORY SET IN KOREAN WAR LOCALE. AIR FORCE PROVIDED EQUIPMENT AS BACKGROUND.,
FLIGHT OF THE INTRUDER,,APPROVED,1991,"THE DEPARTMENT OF THE NAVY AND THE DOD, APPROVED THE PARAMOUNT FILM. THE FILM WAS TECHNICALLY ACCURATE AND PORTRAYED THE MILITARY IN A GENERALLY POSITIVE MANNER. ONE OF THE MOST POSITIVE MOVIES ABOUT US MILITARY IN VIETNAM. FAILED AT BOX OFFICE BECAUSE IT APPEARED AT THE TIME THE GULF WAR WAS BEING FOUGHT ON TELEVISION",
FLIGHT TO NOWHERE,,APPROVED,,THE FILM HAS A POSITIVE PORTRAYAL OF THE NAVY. FILM ALSO ENHANCES THE RECRUITING EFFORT OF THE NAVY. NO RECORD OF FILM BEING MADE,
FLIRTATION WALK,,APPROVED,1934,TYPICAL WEST POINT STORY. ARMY ALLOWED FILMMAKERS TO SHOOT ALL EXTERNAL SCENES AT WEST POINT.,
FLY AWAY HOME,AKA FATHER GOOSE,APPROVED,1996,"ESSENTIALLY A NON-MILITARY, FAMILY TYPE PICTURE ABOUT A MAN AND HIS DAUGHTER REUNITED WHILE HELPING SOME ORPHAN GEESE TO MIGRATE TO SAFETY FROM CANADA. BRIEF BUT REASONABLY POSITIVE AND ACCURATE SEQUENCE HAS GEESE PLUS ULTRALIGHTS EMERGENCY LAND AT AIR FORCE BASE. AFTER INITIAL SURPRISE, AIR FORCE FEEDS GEESE, REFUELS ULTRA-LIGHTS, AND THE FILM GOES ON. APPROVED FILMING WITH NATIONAL GUARD AND USAF AIRCRAFT STATIONARY AND IN FLIGHT OPERATIONS IN MY STATE (AIR NATL GUARD BASE) FOR SEVERAL DAYS.",y
FLYING BLIND,,OTHER,1989,NOT IN THE BEST INTEREST OF THE DOD AND WAS DENIED. THE DEPARTMENT CHOSE NOT TO SUPPLY STOCK FOOTAGE FOR THIS PARTICULAR FILM. NO RECORD OF FILM BEING MADE,
FLYING FLEET,,APPROVED,1929,NAVAL AVIATION STORY WHICH RECEIVED FULL COOPERATION,
FLYING LEATHERNECKS,,APPROVED,1951,"MADE AT REQUEST OF MARINE AVIATION AS ANSWER TO JOHN WAYNE'S ""SANDS OF IWO JIMA."" RECEIVED FULL COOPERATION OE MARINES AT EL TORO AND AT CAMP PENDLETON. WAYNE PLAYS A COLONEL AND FILM DOES CONVEY PROBLEMS OF COMMAND AND CONTROL.",
FLYING MISSILE,,APPROVED,1950,"STORY OF DEVELOPMENT OF MISSILE-LAUNCHING SUBMARINES AT BEGINNING OF COLD WAR. NAVY PROVIDED SUBMARINE AND OTHER SHIPS INCLUDING AIRCRAFT CARRIER. SOME SUBMARINERS CONSIDER THIS AN IMPORTANT FILM BECAUSE IT SHOWED HOW SUBMARINES COULD WIN NEXT WAR. HOWEVER, IT ALSO SHOWS THE VULNERABILITY OF SURFACE SHIPS TO MISSILES LAUNCHED FROM BEYOND THE HORIZON FROM SUBMARINES.",Y
FLYING TIGERS,,APPROVED,1942,ARMY AIR CORPS PROVIDED FIGHTER PLANES FOR FICTIONAL STORY OF THE AMERICAN VOLUNTEER FLIERS IN CHINA IN THE MONTHS BEFORE AND AFTER PEARL HARBOR,
FOLLOW THE FLEET,,APPROVED,1936,MUSICAL COMEDY SET ON NAVY STAGE. NAVY PROVIDED SHIPS AND MEN AS BACKGROUND TO IRVING BERLIN SONGS.,
FOR THE BOYS,,OTHER,1991,"COMPANY WANTED MILITARY INSTALLATIONS AND EXTRAS. FINALLY, THEY DECIDED THAT NO DOD ASSISTANCE WAS REQUIRED AT ALL, BUT THEY WOULDN'T HAVE RECEIVED IT ANYWAY, BASED ON NEGATIVE DEPICTIONS IN SCRIPT.",
FORCE OF ARMYS,,APPROVED,1951,WORLD WAR II COMBAT STORY SET IN ITALY. ARMY PROVIDED MEN AND EQUIPMENT,
FOREVER YOUNG,AKA THE REST OF DANIEL,APPROVED,1992,PERMITTED USE OF ARMY RESERVE FACILITY AS BACKGROUND FOR SIMULATED AIR SHOW SEQUENCE; FILM GAVE OPPORTUNITY TO SHOWCASE MILITARY AIR SHOWS.,Y
FORREST GUMP,,DENIED,1994,"REQUESTED ARMY SUPPORT TO REENACT BASIC TRAINING AND VIETNAM COMBAT SCENE. EARLY SCRIPT HAD NIHILISTIC VIEW OF MILITARY & VIETNAM EXPERIENCE. ARMY & WE SAID NO THANKS. LATER SCRIPT MUCH BETTER, WITH INPUT FROM TECH ADVISOR DALE DYE, BUT ARMY STILL NOT INTERESTED IN ASSISTING. DURING THIS PROCESS, DOD & MARINES INDICATED THAT THEY MAY BE WILLING TO SUPPORT, BUT DIRECTOR BOB ZEMECKIS WAS NOT INTERESTED IN CHANGING FROM ARMY. THE FILMMAKERS DID MAKE ONE VERY IMPORTANT CHANGE SUGGESTED BY THE ARMY: ORIGINAL SCRIPT HAD AN ENTIRE COMPANY OF MEN LIKE FORREST AND BUBBA; ARMY POINTED OUT THAT THE ACTUAL PROGRAM DISTRIBUTED SOLDIERS LIKE FORREST AMONG ""NORMAL"" SOLDIERS IN MANY COMPANIES. THE FINAL SCRIPT MADE THIS IMPORTANT CHANGE.",
FRANCIS,,APPROVED,1949,FIRST OF THE FRANCIS TALKING MULE FILMS. ARMY LOANED MEN AND EQUIPMENT AS BACKGROUND TO EARLY STORY,
FRANCIS GOES TO WEST POINT,,APPROVED,1952,ARMY ALLOWED FILMMAKERS TO SHOOT EXTERIOR SCENES AT THE MILITARY ACADEMY,
FRANCIS IN THE NAVY,,APPROVED,1955,"ANOTHER IN THE SERIES OF FRANCIS THE TALKING MULE COMEDIES. THE NAVY PROVIDED SHIPS, MEN, AND LOCALES AS BACKGROUND TO THE COMEDY. TYPICAL SERVICE FARCE.",
FRANCIS JOINS THE WACS,,APPROVED,1955,"ANOTHER IN THE TALKING MULE SERIES-SET, IN PART, ON A WAC BASE",
FRAULEIN,,LIMITED,1958,"ARMY PROVIDED LIMITED ASSISTANCE WITH MEN, BACKGROUND, AND EQUIPMENT ON LOCATION IN GERMANY--FILM SET IN LAST DAYS OF THE WAR AND DURING THE OCCUPATION",
FREDDY,PAPER PLATE HERO,APPROVED,,THE FILM WAS APPROVED BY NUMEROUS SERVICES AND IN THE BEST INTEREST OF THOSE SERVICES. FREDDY WAS THE THIRD FILM TITLE ON THE SAME MARINE CORP SERGEANT. NO RECORD THAT FILM WAS EVER MADE.,
FROGMEN,,APPROVED,1951,FILM ABOUT THE NAVY'S UNDERWATER DEMOLITION FORCE THAT LATER EVOLVED INTO THE NAVY SEALS. THE SERVICE PROVIDED ITS DIVERS AND LOCALES,
FROM HERE TO ETERNITY,,APPROVED,1953,"ARMY DESPERATELY DID NOT WANT TO COOPERATE ON PRODUCTION. HOWEVER, COLUMBIA ENTERED INTO A LONG SERIES OF NEGOTIATIONS. ULTIMATELY, FILMMAKERS SOFTENED PORTRAYALS OF BRUTALITY IN STOCKADE AND HAD A REPELLENT OFFICER FACE DISCIPLINARY ACTION. IN TURN, ARMY ALLOWED FILMMAKERS FULL ACCESS TO SCHOFIELD BARRACKS, HI.",
FULL METAL JACKET,,OTHER,1987,STANLEY KUBRICK MADE HIS VIETNAM FILM IN ENGLAND WITHOUT ANY CONTACT WITH DOD OR THE MARINES. RETIRED MARINE DRILL INSTRUCTOR LEE ERMEY SERVED AS TECHNICAL ADVISOR.,Y
G.I. JANE,,DENIED,1997,"THE COMPANY APPARENTLY BELIEVED IT DIDN'T REQUIRE ASSISTANCE, AND CAME LATE TO THE NEGOTIATING TABLE. CONSIDERABLE MEDIA ATTENTION RESULTED WHEN STAR DEMI MOORE PHONED THE WHITE HOUSE APPARENTLY IN AN ATTEMPT TO PERSUADE THE NAVY TO COOPERATE. THOUGH NOTHING CAME OF THE PHONE CALL, THE MEDIA PORTRAYED THE PROBLEM AS CENTERED ON THE ISSUE OF A FEMALE SEAL. THIS WAS INACCURATE. THE DIRECTOR HIMSELF SUGGESTED THAT SHE BE IN AN EXPERIMENTAL PROGRAM IN WHICH SHE DID SEAL-LIKE TRAINING. HOWEVER, NEGOTIATIONS BROKE DOWN OVER MANY SMALLER ISSUES, PRINCIPALLY DUE TO LACK OF TIME AND SOME NAVY OVER-ATTENTION TO THESE SMALLER ISSUES.",y
GALLANT HOURS,,APPROVED,1960,"DRAMATIZATION OF ADMIRAL HALSEY'S VICTORY AT BATTLE OF GUADALCANAL SEA. ROBERT MONTGOMERY WHO HAD SERVED ON HALSEY‘S STAFF CLAIMED FILM HISTORICALLY ACCURATE ACCOUNT. HOWEVER, FILM ENDS WITH THE SHOOTING DOWN OF ADMIRAL YAMAMOTO, EVEN THOUGH THAT INCIDENT ACTUALLY TOOK PLACE FIVE MONTHS LATER. VERY LITTLE COOPERATION AND NO BATTLE SCENES--JUST SAILORS LISTENING ON LOUDSPEAKERS.",
GARDENS OF STONE,,OTHER,1987,"THE REQUEST FOR INSTALLATION, PERSONNEL, EQUIPMENT, AND ANIMALS WAS APPROVED. THE REQUEST FILM PERFECT EXAMPLE OF DOD DENYING HELP TO A FILMMAKER ON ONE PROJECT (APOCALYPSE NOW) AND THEN GIVING FULL COOPERATION TO ANOTHER. SOME FEEL THAT THE FILM CONTAINS A POWERFUL ANTI-WAR AND ANTI-VIETNAM WAR MESSAGE, ONE OF THE STRONGEST, IF NOT STRONGEST IN ANY FILM WHICH RECEIVED DOD ASSISTANCE.",Y
GATHERING OF EAGLES,,APPROVED,1963,"POSITIVE PORTRAYAL OF SAC, COMPARED TO ""DR. STRANGELOVE"" AND ""FAIL SAFE,"" THEN IN PRODUCTION. FILM RECEIVED FULL COOPERATION FROM SAC AND SHOT ON MILITARY LOCATIONS.",
"GENERAL'S DAUGHTER, THE",,OTHER,1999,MURDER MYSTERY ABOUT WHO KILLED DAUGHTER OF A POLITICALLY AMBITIOUS GENERAL WHO TRIES TO SUPPRESS EVIDENCE. NEGATIVE SCENES INCLUDE USMA CADET DAUGHTER RAPED BY FELLOW CADETS AND COMPLIANCE BY OFFICERS IN COVER UP.,
GI BLUES,,APPROVED,1960,"ARMY PROVIDED MEN, EQUIPMENT, AND LOCALES FOR ELVIS PRESLEY FILM SET IN GERMANY",
GIANT,,LIMITED,1956,ARMY PROVIDED BURIAL DETAIL FOR ONE SCENE IN THE MOVIE,
"GIRL HE LEFT BEHIND, THE",,APPROVED,1956,SILLY ARMY COMEDY FOLLOWS NEW RECRUIT THROUGH TRIALS AND TRIBULATIONS,
GIRLS OF PLEASURE ISLAND,,APPROVED,1953,"SILLY, UNFUNNY COMEDY ABOUT SOLDIERS WHO ESTABLISH BASE ON PACIFIC ISLAND ALREADY OCCUPIED BY A BEVY OF SISTERS AND THEIR FATHER. ARMY PROVIDED MEN AND EQUIPMENT AS BACKGROUND.",
"GLENN MILLER STORY, THE",,APPROVED,1954,AIR FORCE GAVE FULL COOPERATION ON CLOSING PORTION OF THE FILM WHICH HAS GLENN MILLER AND HIS ORCHESTRA IN ENGLAND PLAYING FOR THE TROOPS,
"GLORY BRIGADE, THE",,APPROVED,1953,ORDINARY KOREAN WAR STORY--G.I.S. LEAD GREEK TROOPS INTO ENEMY TERRITORY. ARMY PROVIDED MEN AND EQUIPMENT,
GO FOR BROKE,,APPROVED,1951,STORY OF JAPANESE-AMERICAN REGIMENT WHICH FOUGHT HEROICALLY IN ITALY IN WWII. ARMY PROVIDED MEN AND EQUIPMENT,
GO TELL THE SPARTANS,,DENIED,1978,"DON BARUCH, IN DOD PUBLIC AFFAIRS, FOUND THE SCRIPT EXCELLENT AND RECOMMENDED THE ARMY WORK TO REVISE SCRIPT TO MAKE IT ACCEPTABLE FOR ASSISTANCE. FILMMAKERS WENT TO L.A. ARMY OFFICE WHERE NEGOTIATIONS BROKE DOWN AND THE COMPANY MADE THE FILM WITHOUT ASSISTANCE. HOWEVER, THEY ASKED THE DEPUTY DIRECTOR OF LA OFFICE TO SERVE AS TECHNICAL ADVISOR AND HE AGREED, TAKING A 30 DAY LEAVE.",
GOD IS MY CO-PILOT,,APPROVED,1945,BASED ON BEST SELLER. AIR CORP PROVIDED SOME PLANES AND BASE FOR MOVIE ABOUT SCOTT AND THE FLYING TIGERS,
